ExitDistance,HasSupply,HasEnemy,ClosestEnemy,ClosestEnemyToSupply,Utility,Action
1,Yes,Yes,1,0,27,GetExit
1,Yes,Yes,1,0,27,GetExit
0,Yes,Yes,2,1,24,GetExit
0,Yes,Yes,2,1,24,GetExit
0,Yes,Yes,1.578821,0.5788207,24,GetExit
0,Yes,Yes,1,0,24,GetExit
0,Yes,Yes,1,0,24,GetExit
0,Yes,Yes,1,0,24,GetExit
0,Yes,Yes,0.5224395,0.4775605,24,GetExit
7,Yes,Yes,1,0,23,GetExit
7,Yes,Yes,1,0,23,GetExit
6,Yes,Yes,0.5725141,0.5725141,24,GetExit
5,Yes,Yes,1,1,23,GetExit
4,Yes,Yes,0,0,22,GetExit
3,Yes,Yes,1,0,21,GetExit
2,Yes,Yes,1.741117,0.258883,20,GetExit
1,Yes,Yes,2,1,19,GetExit
7,Yes,Yes,4,3,37,GetFood
7,Yes,Yes,4,3,37,GetFood
7,Yes,Yes,3.760365,2.760365,37,GetFood
7,Yes,Yes,3,2,37,GetFood
7,Yes,Yes,3,2,37,GetFood
7,Yes,Yes,3,2,37,GetFood
6,Yes,Yes,1.784263,0.2157369,24,GetExit
7,Yes,Yes,2,1,23,GetExit
7,Yes,Yes,2,1,23,GetExit
7,Yes,Yes,2,1,23,GetExit
7,Yes,Yes,1.774308,0.3469081,23,GetExit
7,Yes,Yes,1,0,23,GetExit
7,Yes,Yes,1,0,23,GetExit
6,Yes,Yes,0,0,24,GetExit
5,Yes,Yes,0.3913779,0.6086221,25,GetExit
4,Yes,Yes,1,1,26,GetExit
3,Yes,Yes,0,0,25,GetExit
2,Yes,Yes,1,0,24,GetExit
1,Yes,Yes,1.540455,0.4595451,23,GetExit
7,Yes,Yes,2,1,31,GetFood
7,Yes,Yes,2,1,31,GetFood
7,Yes,Yes,1.563917,0.5639172,31,GetFood
6,Yes,Yes,0,0,22,GetExit
7,Yes,Yes,1,0,21,GetExit
7,Yes,Yes,1,0,21,GetExit
6,Yes,Yes,0.4304519,0.4304519,22,GetExit
5,Yes,Yes,0,1,23,GetExit
4,Yes,Yes,1,1,24,GetExit
3,Yes,Yes,1,1,25,GetExit
3,Yes,Yes,1,1,25,GetExit
2,Yes,Yes,0,1,24,GetExit
1,Yes,Yes,1,1,23,GetExit
0,Yes,Yes,2,1,22,GetExit
0,Yes,Yes,1.351182,0.351182,22,GetExit
0,Yes,Yes,1,0,22,GetExit
0,Yes,Yes,1,0,22,GetExit
0,Yes,Yes,1,0,22,GetExit
0,Yes,Yes,0.3772999,0.6227001,22,GetExit
0,Yes,Yes,0,1,22,GetExit
7,Yes,Yes,2,0,61,GetExit
6,Yes,Yes,1,0,62,GetExit
5,Yes,Yes,0.03754377,0.03754377,63,GetExit
4,Yes,Yes,0,0,64,GetExit
3,Yes,Yes,1,1,65,GetExit
2,Yes,Yes,0,0,66,GetExit
1,Yes,Yes,0.7180569,0.7180569,67,GetExit
7,Yes,Yes,1,1,25,GetFood
6,Yes,Yes,0,1,26,GetFood
5,Yes,Yes,0.774945,0.774945,27,GetFood
4,Yes,Yes,0,0,28,GetFood
3,Yes,Yes,0,0,29,GetFood
2,Yes,Yes,1,2,30,GetFood
1,Yes,Yes,1.39357,1.39357,31,GetFood
1,Yes,Yes,1,1,31,GetFood
1,Yes,Yes,1,0,21,GetExit
0,Yes,Yes,2,0,20,GetExit
0,Yes,Yes,1.3673,0,20,GetExit
7,Yes,Yes,2,1,13,GetFood
6,Yes,Yes,1,1,14,GetFood
5,Yes,Yes,0.03406298,1.228674,15,GetFood
4,Yes,Yes,0,2,16,GetFood
3,Yes,Yes,0,2,17,GetFood
2,Yes,Yes,1,2,18,GetFood
1,Yes,Yes,1.588278,1.588278,19,GetFood
1,Yes,Yes,1,1,19,GetFood
1,Yes,Yes,1,1,19,GetFood
1,No,Yes,1,1000,-1,GetExit
1,No,Yes,0.5665379,1000,-1,GetExit
0,No,Yes,1,1000,0,GetExit
0,No,Yes,1,1000,0,GetExit
0,No,Yes,1,1000,0,GetExit
0,Yes,Yes,1,0,18,GetFood
0,Yes,Yes,1,0,18,GetFood
0,Yes,Yes,1,0,18,GetFood
0,Yes,Yes,1,0,18,GetFood
0,Yes,Yes,1,0,18,GetFood
0,Yes,Yes,1,0,18,GetFood
0,Yes,Yes,0.35849,0.64151,18,GetFood
1,Yes,Yes,1,1,9,GetExit
1,Yes,Yes,1,1,9,GetExit
7,Yes,Yes,1,0,21,GetExit
6,Yes,Yes,0,0,22,GetExit
5,Yes,Yes,0.624369,0,23,GetExit
4,Yes,Yes,0.8693526,0,24,GetExit
3,Yes,Yes,1,0,25,GetExit
2,Yes,Yes,0,0,26,GetExit
1,Yes,Yes,0.5589595,0.5589595,27,GetExit
7,Yes,Yes,1,1,37,GetExit
6,Yes,Yes,0,1,38,GetExit
5,Yes,Yes,0,1,39,GetExit
4,Yes,Yes,1,1,40,GetExit
3,Yes,Yes,0,1,41,GetExit
2,Yes,Yes,1,1,42,GetExit
1,Yes,Yes,2,2,43,GetExit
0,Yes,Yes,1,1,18,GetFood
1,Yes,Yes,0,1,19,GetFood
1,Yes,Yes,0,1,19,GetFood
0,Yes,Yes,1,1,18,GetFood
0,Yes,Yes,1,1,18,GetFood
1,Yes,Yes,0,1,19,GetFood
2,Yes,Yes,0,1,20,GetFood
2,Yes,Yes,0,1,20,GetFood
3,Yes,Yes,1,1,21,GetFood
4,Yes,Yes,2,2,22,GetFood
5,Yes,Yes,2.372835,3.372835,23,GetFood
6,Yes,Yes,3,3,24,GetFood
6,Yes,Yes,3,3,24,GetFood
6,Yes,Yes,3,3,24,GetFood
6,Yes,Yes,2.428046,2.428046,24,GetFood
6,Yes,Yes,2,0,14,GetExit
6,Yes,Yes,2,0,14,GetExit
5,Yes,Yes,1,0,15,GetExit
4,Yes,Yes,0.6291151,0.6291151,16,GetExit
3,Yes,Yes,0.8576505,0.8576505,15,GetExit
2,Yes,Yes,0,1,14,GetExit
1,Yes,Yes,0,1,13,GetExit
7,Yes,Yes,1,1,23,GetExit
6,Yes,Yes,0,1,24,GetExit
5,Yes,Yes,0.7533749,0.7533749,25,GetExit
4,Yes,Yes,0,0,24,GetExit
3,Yes,Yes,1,0,23,GetExit
2,Yes,Yes,0,0,22,GetExit
1,Yes,Yes,1,0,21,GetExit
7,Yes,Yes,3,0,23,GetExit
6,Yes,Yes,2,0,24,GetExit
5,Yes,Yes,1,0,25,GetExit
4,Yes,Yes,0,0,26,GetExit
3,Yes,Yes,0,0,25,GetExit
2,Yes,Yes,1,0,24,GetExit
1,Yes,Yes,1.328594,0.4259496,23,GetExit
1,Yes,Yes,1,0,23,GetExit
1,Yes,Yes,1,0,23,GetExit
0,Yes,Yes,2,0,22,GetExit
0,Yes,Yes,1.366689,0,22,GetExit
0,Yes,Yes,1,0,22,GetExit
0,Yes,Yes,1,0,22,GetExit
0,Yes,Yes,1,0,22,GetExit
0,Yes,Yes,1,0,68,GetFood
0,Yes,Yes,1,0,68,GetFood
0,Yes,Yes,0.692156,0.307844,68,GetFood
0,Yes,Yes,0,0,68,GetFood
0,Yes,Yes,0,0,68,GetFood
0,Yes,Yes,0,0,68,GetFood
7,Yes,No,1000,1000,11,GetFood
7,Yes,No,1000,1000,11,GetFood
7,Yes,No,1000,1000,11,GetFood
6,Yes,No,1000,1000,12,GetFood
5,Yes,No,1000,1000,5,GetFood
4,No,No,1000,1000,-4,GetExit
3,No,No,1000,1000,-3,GetExit
2,No,No,1000,1000,-2,GetExit
2,No,No,1000,1000,-2,GetExit
2,No,No,1000,1000,-2,GetExit
1,No,No,1000,1000,-1,GetExit
0,No,No,1000,1000,0,GetExit
0,No,No,1000,1000,0,GetExit
0,No,No,1000,1000,0,GetExit
0,Yes,Yes,5,0,28,GetFood
1,Yes,Yes,4,0,29,GetFood
2,Yes,Yes,2.357375,0.6426249,30,GetFood
3,Yes,Yes,1,1,31,GetFood
4,Yes,Yes,0,1,32,GetFood
5,Yes,Yes,1,1,33,GetFood
6,Yes,Yes,1.357669,1.357669,32,GetFood
6,Yes,Yes,1,0,14,GetFood
6,Yes,Yes,1,0,14,GetFood
5,Yes,Yes,0,0,15,GetFood
5,Yes,Yes,0,0,15,GetFood
5,No,Yes,0,1000,-5,GetExit
5,No,Yes,0,1000,-5,GetExit
5,No,Yes,0,1000,-5,GetExit
4,No,Yes,0.3247647,1000,-4,GetExit
3,No,Yes,1,1000,-3,GetExit
3,No,Yes,1,1000,-3,GetExit
2,No,Yes,2,1000,-2,GetExit
1,No,Yes,2.392405,1000,-1,GetExit
0,Yes,Yes,2,1,20,GetFood
1,Yes,Yes,1,1,21,GetFood
1,Yes,Yes,0.3585892,3.641411,11,GetFood
2,Yes,Yes,1,4,12,GetFood
3,Yes,Yes,2,4,13,GetFood
4,Yes,Yes,3,4,14,GetFood
5,Yes,Yes,3.368731,3.368731,15,GetFood
5,No,Yes,3,1000,-5,GetExit
6,No,Yes,4,1000,-6,GetExit
6,No,Yes,4,1000,-6,GetExit
7,No,Yes,4.363155,1000,-7,GetExit
7,No,Yes,4,1000,-7,GetExit
7,No,Yes,4,1000,-7,GetExit
7,No,Yes,4,1000,-7,GetExit
7,No,Yes,3.365433,1000,-7,GetExit
6,No,Yes,2,1000,-6,GetExit
5,No,Yes,1,1000,-5,GetExit
4,No,Yes,0,1000,-4,GetExit
3,No,Yes,0.3646541,1000,-3,GetExit
2,No,Yes,1,1000,-2,GetExit
1,No,Yes,2,1000,-1,GetExit
0,Yes,Yes,1,1,42,GetFood
0,Yes,Yes,1,1,42,GetFood
0,Yes,Yes,0.5541878,0.3806758,42,GetFood
0,Yes,Yes,0,0,42,GetFood
1,Yes,Yes,1,0,43,GetFood
2,Yes,Yes,0,0,34,GetFood
2,Yes,Yes,0,0,14,GetFood
2,Yes,Yes,0,0,14,GetFood
2,Yes,Yes,0,0,14,GetFood
2,Yes,Yes,0,2,4,GetFood
2,Yes,Yes,0,2,4,GetFood
2,Yes,Yes,0,2,4,GetFood
3,Yes,Yes,1,2,5,GetFood
3,Yes,Yes,1,2,5,GetFood
4,Yes,Yes,1.37568,1.37568,6,GetFood
4,No,Yes,1,1000,-4,GetExit
